change_level,model,nll,random_nll,trials,sessions,nll_per_trial,pseudo_r2
high,Adaptive RW,39945.74182128906,46374.452560424805,44953,226,0.8886112566745059,0.13862612676148112
high,RW,39948.943225860596,46374.452560424805,44953,226,0.8886824733802103,0.1385570929638883
low,Adaptive RW,43853.1484336853,51293.7961730957,49535,249,0.8852962235527466,0.14505940863299027
low,RW,43824.051010131836,51293.7961730957,49535,249,0.8847088121556845,0.14562667847309474
