fold,model,alpha,beta,train_nll,success,iterations,alpha0,eta
0,RW,0.6901447772979736,2.9882354736328125,55871.5390625,True,7,,
0,Adaptive RW,,2.951303243637085,55846.5390625,True,29,0.7940244078636169,0.0021791611798107624
1,RW,0.6556634306907654,3.200322151184082,56808.48046875,True,8,,
1,Adaptive RW,,3.186685085296631,56805.7265625,True,26,0.6861321926116943,0.0007050963467918336
2,RW,0.6486507058143616,3.165844440460205,54774.734375,True,8,,
2,Adaptive RW,,3.1651973724365234,54774.7421875,True,35,0.649604082107544,3.335786459501833e-05
